Experiment	Subject	Trial	pinyin.stim	pinyin.resp	Status	ZL.stim	ZL.resp	ZL.edit	ZL.A	ZL.D	ZL.S	ZL.C	ZL.V1	ZL.V2	ZL.X	ZL.T	L.stim	L.resp	L.edit	L.A	L.D	L.S	L.C	L.V1	L.V2	L.X	L.T	NH.stim	NH.resp	NH.edit	NH.A	NH.D	NH.S	NH.C	NH.V1	NH.V2	NH.X	NH.T
exp2	p02	3	bing1	bin1	item	piN1	pin1	1	0	0	1	0	0	0	1	0	pj@N1	pin1	3	0	0	0	0	0	0	0	0	piN1	pin1	1	0	0	1	0	0	0	1	0
exp2	p02	7	li3	ling3	item	li3	liN3	1	1	0	0	0	0	0	1	0	li3	lj@N3	3	0	0	0	0	0	0	0	0	li3	liN3	1	1	0	0	0	0	0	1	0
exp2	p02	8	xie2	xing2	item	XiE2	XiN2	1	0	0	1	0	0	0	1	0	Xje2	Xj@N2	2	0	0	0	0	0	0	0	0	XiE2	XiN2	1	0	0	1	0	0	0	1	0
exp2	p02	9	ting1	pin1	item	TiN1	Pin1	2	0	0	0	0	0	0	0	0	Tj@N1	Pin1	4	0	0	0	0	0	0	0	0	TiN1	Pin1	2	0	0	0	0	0	0	0	0
exp2	p02	11	mei2	hui2	item	mei2	xuei2	2	0	0	0	0	0	0	0	0	mei2	xwei2	2	0	0	0	0	0	0	0	0	meI2	xueI2	2	0	0	0	0	0	0	0	0
exp2	p02	13	ruo4	rou4	item	ruo4	r@u4	2	0	0	0	0	0	0	0	0	rwo4	rou4	2	0	0	0	0	0	0	0	0	ruo4	roU4	2	0	0	0	0	0	0	0	0
exp2	p02	15	jia1	jing1	item	Jia1	JiN1	1	0	0	1	0	0	0	1	0	Jja1	Jj@N1	2	0	0	0	0	0	0	0	0	Jia1	JiN1	1	0	0	1	0	0	0	1	0
exp1	p01	1	dia3	da1	item	tia3	ta1	2	0	1	0	0	1	0	0	0	tja3	ta1	2	0	0	0	0	0	0	0	0	tia3	ta1	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p24	1	en1	fen1	item	@n1	f@n1	1	1	0	0	1	0	0	0	0	@n1	f@n1	1	1	0	0	1	0	0	0	0	@n1	f@n1	1	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p38	1	pin1	ping1	item	Pin1	PiN1	1	0	0	1	0	0	0	1	0	Pin1	Pj@N1	3	0	0	0	0	0	0	0	0	Pin1	PiN1	1	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p08	1	qiong2	que4	item	qiuN2	qyE4	4	0	0	0	0	0	0	0	0	qjuN2	qHe4	4	0	0	0	0	0	0	0	0	QioN2	QyE4	4	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p19	1	xun2	xu3	item	Xyn2	Xy3	2	0	1	0	0	0	0	1	0	Xyn2	Xy3	2	0	0	0	0	0	0	0	0	Xu@n2	Xy3	4	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p28	1	xun2	suan2	item	Xyn2	suan2	3	0	0	0	0	0	0	0	0	Xyn2	swan2	3	0	0	0	0	0	0	0	0	Xu@n2	suan2	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p18	1	yong4	rong2	item	iuN4	ruN2	2	0	0	1	1	0	0	0	0	juN4	ruN2	2	0	0	0	0	0	0	0	0	ioN4	roN2	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p13	1	zun1	zeng1	item	zu@n1	z@N1	2	0	0	0	0	0	0	0	0	zw@n1	z@N1	2	0	0	0	0	0	0	0	0	zu@n1	z@N1	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p14	1	zun1	zui4	item	zu@n1	zuei4	3	0	0	0	0	0	0	0	0	zw@n1	zwei4	3	0	0	0	0	0	0	0	0	zu@n1	zuei4	3	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p24	2	ao4	o4	item	Au4	o4	2	0	0	0	0	0	0	0	0	Au4	O4	2	0	0	0	0	0	0	0	0	au4	o4	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p18	2	er2	e2	item	@r2	72	2	0	0	0	0	0	0	0	0	@r2	72	2	0	0	0	0	0	0	0	0	er2	@2	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p16	2	hun4	hui4	item	xu@n4	xuei4	2	0	0	0	0	0	0	0	0	xw@n4	xwei4	2	0	0	0	0	0	0	0	0	xu@n4	xuei4	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p33	2	kao4	kan4	item	KAu4	Kan4	2	0	0	0	0	0	0	0	0	KAu4	Kan4	2	0	0	0	0	0	0	0	0	Kau4	Kan4	1	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p12	2	lv4	nv3	item	ly4	ny3	2	0	0	1	1	0	0	0	0	ly4	ny3	2	0	0	0	0	0	0	0	0	ly4	ny3	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p06	2	ming2	mian2	item	miN2	mian2	2	0	0	0	0	0	0	0	0	mj@N2	mjEn2	2	0	0	0	0	0	0	0	0	miN2	miEn2	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p15	2	qian2	qun2	item	qian2	qyn2	2	0	0	0	0	0	0	0	0	qjEn2	qyn2	2	0	0	0	0	0	0	0	0	QiEn2	Qy@n2	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p34	2	quan2	ren2	item	qyan2	r@n2	3	0	0	0	0	0	0	0	0	qHen2	r@n2	3	0	0	0	0	0	0	0	0	QyEn2	rEn2	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p17	2	ri4	rui4	item	r14	ruei4	3	0	0	0	0	0	0	0	0	r14	rwei4	3	0	0	0	0	0	0	0	0	r14	ruei4	3	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p13	2	wan2	weng1	item	uan2	u@N1	3	0	0	0	0	0	0	0	0	wan2	w@N1	3	0	0	0	0	0	0	0	0	uan2	u@N1	3	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p04	2	wo3	huo2	item	uo3	xuo2	2	1	0	0	1	0	0	0	0	wo3	xwo2	2	0	0	0	0	0	0	0	0	uo3	xuo2	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p28	2	yuan2	ran2	item	yan2	ran2	1	0	0	1	1	0	0	0	0	HEn2	ran2	2	0	0	0	0	0	0	0	0	iyEn2	ran2	3	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p27	3	e4	le4	item	74	l74	1	1	0	0	1	0	0	0	0	74	l74	1	1	0	0	1	0	0	0	0	@4	l@4	1	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p30	3	gua4	guai4	item	kua4	kuai4	1	1	0	0	0	0	0	1	0	kwa4	kwai4	1	1	0	0	0	0	0	1	0	kua4	kuai4	1	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p12	3	guan3	huan2	item	kuan3	xuan2	2	0	0	1	1	0	0	0	0	kwan3	xwan2	2	0	0	0	0	0	0	0	0	kuan3	xuan2	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p31	3	guan3	gun1	item	kuan3	ku@n1	2	0	0	1	0	0	1	0	0	kwan3	kw@n1	2	0	0	0	0	0	0	0	0	kuan3	ku@n1	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p28	3	hei1	han1	item	xei1	xan1	2	0	0	0	0	0	0	0	0	xei1	xan1	2	0	0	0	0	0	0	0	0	xei1	xan1	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p15	3	ming2	min2	item	miN2	min2	1	0	0	1	0	0	0	1	0	mj@N2	min2	3	0	0	0	0	0	0	0	0	miN2	min2	1	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p19	3	nan2	na4	item	nan2	na4	2	0	1	0	0	0	0	1	0	nan2	na4	2	0	0	0	0	0	0	0	0	nan2	na4	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p29	3	qian2	qiang2	item	qian2	qiAN2	2	0	0	0	0	0	0	0	0	qjEn2	qjAN2	2	0	0	0	0	0	0	0	0	QiEn2	QiaN2	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p03	3	ren2	ling2	item	r@n2	liN2	3	0	0	0	0	0	0	0	0	r@n2	lj@N2	3	0	0	0	0	0	0	0	0	rEn2	liN2	3	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p35	3	rou4	re4	item	r@u4	r74	2	0	0	0	0	0	0	0	0	rou4	r74	2	0	0	0	0	0	0	0	0	rou4	r@4	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p32	3	sen1	fen3	item	s@n1	f@n3	2	0	0	1	1	0	0	0	0	s@n1	f@n3	2	0	0	0	0	0	0	0	0	s@n1	f@n3	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p28	4	de2	dai3	item	t72	tai3	3	0	0	0	0	0	0	0	0	t72	tai3	3	0	0	0	0	0	0	0	0	t@2	tai3	3	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p21	4	dia3	di3	item	tia3	ti3	1	0	1	0	0	0	1	0	0	tja3	ti3	2	0	0	0	0	0	0	0	0	tia3	ti3	1	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p38	4	dia3	diao3	item	tia3	tiAu3	2	0	0	0	0	0	0	0	0	tja3	tjAu3	2	1	0	0	0	0	0	1	0	tia3	tiau3	1	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p30	4	hou4	he4	item	x@u4	x74	2	0	0	0	0	0	0	0	0	xou4	x74	2	0	0	0	0	0	0	0	0	xou4	x@4	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p16	4	ji1	jing1	item	Ji1	JiN1	1	1	0	0	0	0	0	1	0	Ji1	Jj@N1	3	0	0	0	0	0	0	0	0	Ji1	JiN1	1	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p35	4	jing3	qin4	item	JiN3	qin4	3	0	0	0	0	0	0	0	0	Jj@N3	qin4	5	0	0	0	0	0	0	0	0	JiN3	Qin4	3	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p15	4	lin2	yong4	item	lin2	iuN4	4	0	0	0	0	0	0	0	0	lin2	juN4	4	0	0	0	0	0	0	0	0	lin2	ioN4	4	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p04	4	qiu2	qun2	item	qi@u2	qyn2	3	0	0	0	0	0	0	0	0	qjou2	qyn2	3	0	0	0	0	0	0	0	0	Qiou2	Qy@n2	3	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p32	4	tui3	tu1	item	Tuei3	Tu1	3	0	0	0	0	0	0	0	0	Twei3	Tu1	4	0	0	0	0	0	0	0	0	Tuei3	Tu1	3	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p18	4	wei2	hui2	item	uei2	xuei2	1	1	0	0	1	0	0	0	0	wei2	xwei2	1	1	0	0	1	0	0	0	0	uei2	xuei2	1	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p03	4	xia4	shang4	item	Xia4	SAN4	3	0	0	0	0	0	0	0	0	Xja4	SAN4	3	0	0	0	0	0	0	0	0	Xia4	SaN4	3	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p05	4	ying2	yin1	item	iN2	in1	2	0	0	1	0	0	0	1	0	j@N2	jin1	3	0	0	0	0	0	0	0	0	iiN2	iin1	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p27	5	a1	an1	item	a1	an1	1	1	0	0	0	0	0	1	0	a1	an1	1	1	0	0	0	0	0	1	0	a1	an1	1	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p34	5	a1	ma1	item	a1	ma1	1	1	0	0	1	0	0	0	0	a1	ma1	1	1	0	0	1	0	0	0	0	a1	ma1	1	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p06	5	er2	ran2	item	er2	ran2	3	0	0	0	0	0	0	0	0	@r2	ran2	3	0	0	0	0	0	0	0	0	er2	ran2	3	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p13	5	mo2	meng2	item	mo2	m@N2	2	0	0	0	0	0	0	0	0	mwo2	m@N2	2	0	0	0	0	0	0	0	0	muo2	m@N2	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p23	5	ou4	a4	item	@u4	a4	2	0	0	0	0	0	0	0	0	ou4	a4	2	0	0	0	0	0	0	0	0	ou4	a4	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p35	5	wan2	wu2	item	uan2	u2	2	0	0	0	0	0	0	0	0	wan2	wu2	2	0	0	0	0	0	0	0	0	uan2	u2	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p17	5	weng1	wo3	item	u@N1	uo3	3	0	0	0	0	0	0	0	0	w@N1	wo3	3	0	0	0	0	0	0	0	0	u@N1	uo3	3	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p15	5	xiong2	xun2	item	XiuN2	Xyn2	3	0	0	0	0	0	0	0	0	XjuN2	Xyn2	3	0	0	0	0	0	0	0	0	XioN2	Xu@n2	3	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p08	5	xun2	qun1	item	Xyn2	qyn1	2	0	0	1	1	0	0	0	0	Xyn2	qyn1	2	0	0	0	0	0	0	0	0	Xu@n2	Qy@n1	3	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p36	5	ying2	yin2	item	iN2	in2	1	0	0	1	0	0	0	1	0	j@N2	jin2	2	0	0	0	0	0	0	0	0	iiN2	iin2	1	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p07	5	zheng4	cheng2	item	Z@N4	C@N2	2	0	0	1	1	0	0	0	0	Z@N4	C@N2	2	0	0	0	0	0	0	0	0	Z@N4	C@N2	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p11	6	bie2	bian3	item	piE2	pian3	3	0	0	0	0	0	0	0	0	pje2	pjEn3	3	0	0	0	0	0	0	0	0	piE2	piEn3	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p19	6	chui1	chu4	item	Cuei1	Cu4	3	0	0	0	0	0	0	0	0	Cwei1	Cu4	4	0	0	0	0	0	0	0	0	Cuei1	Cu4	3	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p18	6	e4	wo4	item	74	uo4	2	0	0	0	0	0	0	0	0	74	wo4	2	0	0	0	0	0	0	0	0	@4	uo4	2	NA	NA	NA	NA	NA	NA	NA	NA
exp1	p16	6	hou4	han2	item	x@u4	xan2	3	0	0	0	0	0	0	0	0	xou4	xan2	3	0	0	0	0	0	0	0	0	xou4	xan2	3	NA	NA	NA	NA	NA	NA	NA	NA
